8062970,s bohrnell & co
12480850,s brannon clothing inc
8062958,s breslauer licensed electric
12480840,s brooklyn medical administrative services
6186131,s brooks & associates
8062955,s brownfeld auto service inc
8062940,s burke family limited partnership
8062939,s burlington realty co
12479379,s c & m inc
2404219,s c association of veterinarians
8062707,s c automobile dealers association pa attn
7933268,s c bankers assoc
8062688,s c care & associates
7933267,s c chiroparactic assoc
10507199,s c chu inc dba all season restaurant
1302363,s c consulting services
4662129,s c consumer finance association political action com
8062672,s c contractors for good govt
8062656,s c d enterprises incorporate
11112590,s c d inc
12480637,s c d rea & sons insurance
9602234,s c democratic party
8062659,s c dental association
8062651,s c distributing co
9105754,s c financial services association
2406934,s c funeral directors ass
12480599,s c g g c
9105751,s c h
11142180,s c h a r p
8062349,s c healthcare p a c
9105733,s c hockersmith inc
8061549,s c horn associates inc
12479504,s c i
8060966,s c i associates
6305419,s c i inc
8060916,s c i l inc
11112576,s c i management corporation
8060893,s c i systems inc
8060885,s c jackson construction in
6242066,s c l corp
8060862,s c liquor
8060853,s c m associates
8060849,s c m construction inc
8060848,s c m corporate group
2406613,s c main st associates
8060856,s c management corp
9105708,s c modular housing
7933154,s c motorcycle rights
12306458,s c mullick pc
12247056,s c myers & associates
12479374,s c myers & associates inc
8060838,s c n ca
6175336,s c o a p a c state local
12284667,s c o p e
2331769,s c o p e multicandidate cmte
1761446,s c o p e multicandidate committee
10530488,"s c o p e multicandidate committee,"
10475147,s c o p e southwestern committee on political education for southwestern public service company
10570670,"s c o p e southwestern committee on political education,"
6305388,s c parker & co inc
8060199,s c parker & company inc
6186119,s c petroleum council
8060188,s c precision molds inc
8060186,s c properties
8060167,s c r design organization inc
12478863,s c r e
12478835,s c r llc
8060150,s c rep caucus
8060148,s c rep party computer list of voters
2341143,s c republican party
2338534,s c republican women federated
7933118,s c retail association
8060108,s c roberts & associates inc
8060077,s c s b inc
12478805,s c s c inc
12312043,s c s enterprises
10530442,s c s group inc
8060078,s c saxena campaign account
8060069,s c shrimpers assn
9602192,s c soft ink assoc inc
10705540,s c state employees association
12478777,s c steen syrup mill inc
12276626,s c t software & resource manageme
8060059,s c textile manufacture of sc
8060034,s c u inc
8060000,s c wings inc
8059998,s c womens dem club
10462349,s c wright ins svcs
10530565,s ca construction consultants
10530552,s ca sheet metal apprenticeship & training committee
8062933,s cabarrus repb women
7974545,s camaredella mark a
12480729,s car go inc syril ler rubin
8062776,s cardiovasc & thorac sgcl con
10530554,s carol massie dba mcdonald s 5149
2338590,s carol massie inc dba mcdonalds
8062757,s carolina enterprises
8062756,s carolina policy council education foundation
8062755,s carolina school of dog groomin
8062754,s carolina trial lawyers assn
12480709,s carroll kahn ltd
1318749,s carroll kahn ltd prtnrshp
12312491,s carter consulting
8062614,s central community service
6305478,s central ind bldg construct trades council
12286558,s central ohio district
12292599,s central optometric society
8062612,s central transit corp
12480499,s chamberlan & association inc
8062246,s chenncereddy pc
8062192,s chess & associates pa
8062160,s chicago disposal
8062159,s chicago trucking co
6305445,s choice inc
8060861,s cl legislative black cacus
2406619,s clark balderson trust
8060875,s clark balderson trust vtd 06-97
12479406,s clark butler properties ltd
8060863,s clifton co inc
8060833,s coal co
12479354,s cohen advertising
12312175,s cooper brothers trucking inc
8060790,s cooper trucking inc
1742373,s cruz cncl classif empls 6084
9105664,s cubed capital management
10530439,s cubed capital management llc
12478634,s d & p associates
8059978,s d action comm
8059970,s d ashe inc
6305373,s d asso of special care profiders
8059965,s d battista paintings conservation inc
8059938,s d c sierera associates llc
10791647,s d carter insurance agency inc
8059952,s d contractors
8059947,s d county republican central cmte
10570593,s d deacon corp of california
8059935,s d devito companies incorpora
8059931,s d e a
10570592,s d enterprises
8059928,s d enterprises inc
8059921,s d federation of republican women
8059914,s d h b inc
7933106,s d h pin park
12478673,s d hair ltd
12478661,s d i inc
8059900,s d i investments l l c
8059887,s d kelly & assoc inc
6305362,s d physical therapy asso
6305359,s d retailers association
11609397,s d roberts moore
8059869,s d runyon incorporated
6305355,s d s m a
8059863,s d s petroleum products
12311999,s d s productions llc
12478605,s d u inc
8059852,s d williams & co
2406452,s dade cablevision
8059974,s dak - d -pac
1047,s dak action committee for rural electrification
12478715,s dakotans quality tv
8059972,s dale price attorney at law
12478710,s david & co inc
8059967,s david enterprises
734958,s david smith pc
2406449,s davis & associates pa
8059966,s davis & association
12478709,s davis & attorney
12225623,s delia corp
10777252,s dennis for mtry regional parks
12478684,s denver anesthesia sm donor
8059925,s determination
8059902,s di giacomo & son inc
8059907,s dickert excavating
1743357,s diego area muni emps 127
8059893,s dipak international
8059879,s dodge & associates inc
8059878,s douglas busari & associates
8059849,s dyall inc
8058844,s e & d incorporated
12478529,s e a consultants inc
8059682,s e a green
2406372,s e a s pro-life
10507165,s e b enterprises dba custom protection services
7898687,s e b enterprises inc
8059233,s e barron investment inc
12478133,s e bassett co
2406326,s e c
8059170,s e chapter acpa
8059157,s e community work center inc
12478020,s e construction
8059099,s e corporation of michigan
8059096,s e covington & co
12477813,s e d
6191531,s e d ltd
12311805,s e donald ltd
2341043,s e farris law firm
2406286,s e ferris law firm
8058695,s e g entertainment inc
8058655,s e h employees
6175301,s e h excavating inc
7898627,s e huey co
10570480,s e i chemical inc
8058573,s e i solid waste inc
12244919,s e i u
7898620,s e i u 686 afl cio
7933022,s e i u cope
9693268,s e i u cope us division
9105582,s e i u healthcare
9600112,s e i u healthcare michigan campaign
12477575,s e i u local 1
9432010,s e i u local 105 small donor committee
726506,s e i u local 21 la
7933006,s e i u local 32
8058541,s e i u local 32e action
738469,s e i u local 668 afl cio
12477571,s e i u local 668- pa social ser union
12477564,s e i u local 73 b pac account
1307704,s e i u local 74
7932998,s e i u local 74 politica
7932999,s e i u local 74 political
1306667,s e i u local 74 political fun
8058521,s e i u pea international - u s
8058519,s e i u political education & action fund
7974432,s e i v local 74 pol fund
11574848,s e incorporated
12477544,s e j financial services inc
8058507,s e kansas comm action prg
8058481,s e larson catering
8058199,s e macmillan co
8058192,s e mann inc
8058169,s e michael king truck sales
12476880,s e n e inc
